Operação,Semestre,Abertura,Fechamento,Dias,Retorno total,Ticker 1,Ticker 2,Converged,Index,Retorno total - exp
1,2,13,63,50,0.004195374688946263,ITUB4,BBDC3,True,ITUB4-BBDC3-1,1.0042041875935055
2,2,68,99,31,0.06473528792762362,ITUB4,BBDC3,True,ITUB4-BBDC3-2,1.0668765718932343
3,2,102,131,29,-0.10961824810051124,ITUB4,BBDC3,False,ITUB4-BBDC3-3,0.8961761869645876
1,2,1,51,50,-0.005884153634800882,ITSA4,POMO4,True,ITSA4-POMO4-1,0.9941331240923207
2,2,52,95,43,0.2960852823708957,ITSA4,POMO4,True,ITSA4-POMO4-2,1.3445848213239862
3,2,103,131,28,-0.23827741321343554,ITSA4,POMO4,False,ITSA4-POMO4-3,0.7879840635788784
1,3,3,7,4,0.019314722502859594,PETR4,PETR3,True,PETR4-PETR3-1,1.0195024584971255
2,3,11,48,37,0.06501650309832374,PETR4,PETR3,True,PETR4-PETR3-2,1.0671766359598216
3,3,61,76,15,0.04740736116863781,PETR4,PETR3,True,PETR4-PETR3-3,1.0485490602622782
4,3,83,128,45,-0.08667916124152364,PETR4,PETR3,False,PETR4-PETR3-4,0.9169712483597134
1,3,57,107,50,0.02516502562101053,BBDC4,BBDC3,True,BBDC4-BBDC3-1,1.0254843377511298
2,3,110,128,18,0.026433224360707497,BBDC4,BBDC3,False,BBDC4-BBDC3-2,1.0267856807021745
1,3,20,29,9,0.052782681979461676,AMBV4,CRUZ3,True,AMBV4-CRUZ3-1,1.0542005234531169
2,3,120,128,8,0.16839614045491946,AMBV4,CRUZ3,False,AMBV4-CRUZ3-2,1.1834053125246518
1,3,100,128,28,-0.15712786870183804,ELET6,VIVT4,False,ELET6-VIVT4-1,0.8545947759063093
1,3,1,7,6,0.15011859053330412,BBDC4,AMBV4,True,BBDC4-AMBV4-1,1.1619720334409147
2,3,58,108,50,0.03186590216971685,BBDC4,AMBV4,True,BBDC4-AMBV4-2,1.0323790562309954
3,3,126,128,2,0.0294138569358966,BBDC4,AMBV4,False,BBDC4-AMBV4-3,1.029850717154368
1,3,1,9,8,0.15777187554085637,BBDC3,CRUZ3,True,BBDC3-CRUZ3-1,1.1708990535248118
2,3,58,108,50,0.030921702855692512,BBDC3,CRUZ3,True,BBDC3-CRUZ3-2,1.0314047446788228
1,3,35,69,34,0.12291253653041267,GGBR4,GOAU4,True,GGBR4-GOAU4-1,1.1307855141977579
1,3,1,9,8,0.15449841617030335,BBDC3,AMBV4,True,BBDC3-AMBV4-1,1.1670724296120585
2,3,59,77,18,0.08582952544469791,BBDC3,AMBV4,True,BBDC3-AMBV4-2,1.0896205598907893
1,3,100,128,28,-0.27742566469822516,PTIP4,VIVT4,False,PTIP4-VIVT4-1,0.7577318887381265
1,3,1,51,50,0.1387656601714655,BRKM5,ARCZ6,True,BRKM5-ARCZ6-1,1.148854846008745
2,3,55,105,50,0.06934119446882074,BRKM5,ARCZ6,True,BRKM5-ARCZ6-2,1.0718018396286035
3,3,119,128,9,-0.04163904234707391,BRKM5,ARCZ6,False,BRKM5-ARCZ6-3,0.959215954431235
1,4,10,52,42,0.049629523465348324,BBDC4,BBDC3,True,BBDC4-BBDC3-1,1.0508816972393344
2,4,71,121,50,0.012402075438488369,BBDC4,BBDC3,True,BBDC4-BBDC3-2,1.0124793000945314
3,4,122,131,9,0.0020368963766141945,BBDC4,BBDC3,False,BBDC4-BBDC3-3,1.002038972259252
1,4,40,90,50,-0.16316446986939814,PETR4,PETR3,True,PETR4-PETR3-1,0.8494514677530244
2,4,91,131,40,0.05921713116588467,PETR4,PETR3,False,PETR4-PETR3-2,1.061005593112357
1,4,49,99,50,0.057155323759885635,AMBV4,CRUZ3,True,AMBV4-CRUZ3-1,1.0588202575673413
1,4,47,97,50,0.01898145222065173,BBDC3,CRUZ3,True,BBDC3-CRUZ3-1,1.019162745236382
2,4,124,131,7,-0.026991189286227346,BBDC3,CRUZ3,False,BBDC3-CRUZ3-2,0.9733698175694138
1,4,66,88,22,0.14960139098148684,BBDC3,AMBV4,True,BBDC3-AMBV4-1,1.1613712174102788
1,4,51,101,50,0.2561327068879964,BBDC4,CRUZ3,True,BBDC4-CRUZ3-1,1.291924163799398
1,4,42,92,50,-0.020697125107295156,CMIG3,CRUZ3,True,CMIG3-CRUZ3-1,0.9795155903262677
2,4,93,131,38,0.2495161270069508,CMIG3,CRUZ3,False,CMIG3-CRUZ3-2,1.2834042617583843
1,4,50,100,50,-0.02264903281638908,BBDC4,AMBV4,True,BBDC4-AMBV4-1,0.9776055310304991
2,4,114,131,17,0.12883404861144765,BBDC4,AMBV4,False,BBDC4-AMBV4-2,1.1375013385749326
1,4,19,69,50,-0.061626756532908944,GGBR4,GOAU4,True,GGBR4-GOAU4-1,0.940233757414425
2,4,70,120,50,0.128780691241402,GGBR4,GOAU4,True,GGBR4-GOAU4-2,1.1374406461142923
1,4,38,77,39,0.534988480913657,BRKM5,ARCZ6,True,BRKM5-ARCZ6-1,1.7074285741237625
1,5,22,72,50,-0.08272703615467392,BBDC4,BBDC3,True,BBDC4-BBDC3-1,0.920602404098782
2,5,73,123,50,-0.011183326511276626,BBDC4,BBDC3,True,BBDC4-BBDC3-2,0.9888789744244734
3,5,124,128,4,0.026584903351528855,BBDC4,BBDC3,False,BBDC4-BBDC3-3,1.0269414343299912
1,5,15,65,50,0.03346379389518983,BBDC3,AMBV4,True,BBDC3-AMBV4-1,1.0340300048497921
2,5,69,119,50,-0.16127081174845903,BBDC3,AMBV4,True,BBDC3-AMBV4-2,0.8510615624265635
3,5,120,128,8,-0.03801446191048852,BBDC3,AMBV4,False,BBDC3-AMBV4-3,0.9626990183234959
1,5,7,57,50,0.0665250530605519,ITSA4,UNIP6,True,ITSA4-UNIP6-1,1.0687877401437318
2,5,58,108,50,-0.15171061274089936,ITSA4,UNIP6,True,ITSA4-UNIP6-2,0.8592368969767372
3,5,109,128,19,-0.04944620732823246,ITSA4,UNIP6,False,ITSA4-UNIP6-3,0.9517563542766295
1,5,1,51,50,0.014623443209228482,ITUB4,BBDC4,True,ITUB4-BBDC4-1,1.0147308888577913
2,5,52,102,50,-0.05631705700593659,ITUB4,BBDC4,True,ITUB4-BBDC4-2,0.945239393603182
3,5,103,128,25,-0.04966071663386051,ITUB4,BBDC4,False,ITUB4-BBDC4-3,0.9515522155775546
1,5,19,63,44,0.28375022707009,ITUB4,CRUZ3,True,ITUB4-CRUZ3-1,1.3281011656021933
1,5,15,34,19,0.1330091233746291,CMIG4,CPLE6,True,CMIG4-CPLE6-1,1.1422604195530874
2,5,44,56,12,0.06660484838646896,CMIG4,CPLE6,True,CMIG4-CPLE6-2,1.068873027812526
3,5,75,124,49,0.09150067598921008,CMIG4,CPLE6,True,CMIG4-CPLE6-3,1.0958175174531088
1,5,76,126,50,-0.12379999217561388,DURA4,VCPA4,True,DURA4-VCPA4-1,0.8835565414329897
2,5,127,128,1,0.0,DURA4,VCPA4,False,DURA4-VCPA4-2,1.0
1,5,15,25,10,0.15009793859373088,BBDC4,AMBV4,True,BBDC4-AMBV4-1,1.1619480367124848
2,5,120,128,8,-0.05708456147528573,BBDC4,AMBV4,False,BBDC4-AMBV4-2,0.9445141964756039
1,5,4,54,50,-0.04929152019378602,BBDC4,CRUZ3,True,BBDC4-CRUZ3-1,0.951903590127216
2,5,55,105,50,0.14124139302569294,BBDC4,CRUZ3,True,BBDC4-CRUZ3-2,1.1517026274141766
3,5,106,128,22,-0.22064888970711405,BBDC4,CRUZ3,False,BBDC4-CRUZ3-3,0.8019982206915977
1,5,11,61,50,-0.17645649115161288,GGBR4,GOAU4,True,GGBR4-GOAU4-1,0.8382352490121598
2,5,62,112,50,-0.08199093835681337,GGBR4,GOAU4,True,GGBR4-GOAU4-2,0.9212803069719407
3,5,113,128,15,0.15025191987389364,GGBR4,GOAU4,False,GGBR4-GOAU4-3,1.1621269687343976
1,6,42,92,50,-0.10367711428041448,CMIG4,CPLE6,True,CMIG4-CPLE6-1,0.9015163371836343
2,6,93,131,38,0.11207018067188423,CMIG4,CPLE6,False,CMIG4-CPLE6-2,1.1185913613837015
1,6,1,51,50,-0.09995196151575392,BBDC4,AMBV4,True,BBDC4-AMBV4-1,0.9048808860980727
2,6,52,102,50,0.20556309941237716,BBDC4,AMBV4,True,BBDC4-AMBV4-2,1.2282164782548763
3,6,103,122,19,0.26773932394025857,BBDC4,AMBV4,True,BBDC4-AMBV4-3,1.307006390328335
1,6,34,84,50,-0.16223105319776698,ITUB4,CMIG4,True,ITUB4-CMIG4-1,0.8502447300793115
2,6,85,131,46,-0.03924614465864229,ITUB4,CMIG4,False,ITUB4-CMIG4-2,0.9615140084788625
1,6,10,60,50,-0.10190817671599417,TSPC6,TPRC6,True,TSPC6-TPRC6-1,0.9031124746149357
2,6,61,111,50,0.0037552902468505067,TSPC6,TPRC6,True,TSPC6-TPRC6-2,1.0037623501838742
3,6,112,131,19,0.08630253306578273,TSPC6,TPRC6,False,TSPC6-TPRC6-3,1.0901360806327165
1,6,118,131,13,-0.08800186627892642,ITUB4,CRUZ3,False,ITUB4-CRUZ3-1,0.9157591676596946
1,6,1,51,50,-0.03561709837932581,BBDC4,CPLE6,True,BBDC4-CPLE6-1,0.9650097265386095
2,6,52,102,50,0.1771710284095206,BBDC4,CPLE6,True,BBDC4-CPLE6-2,1.1938352554128286
1,6,1,51,50,0.06612525472631248,BBDC4,BBDC3,True,BBDC4-BBDC3-1,1.0683605259910105
2,6,52,102,50,-0.010873716943100242,BBDC4,BBDC3,True,BBDC4-BBDC3-2,0.9891851882176377
3,6,103,131,28,-0.008535349480565113,BBDC4,BBDC3,False,BBDC4-BBDC3-3,0.9915009731990942
1,6,4,54,50,0.08510718068224254,ELET6,PTIP4,True,ELET6-PTIP4-1,1.0888337623900268
