Operação,Semestre,Abertura,Fechamento,Dias,Retorno total,Ticker 1,Ticker 2,Converged,Index,Retorno total - exp
1,0,6,34,28,0.11706534026184401,ITUB4,CMIG4,True,ITUB4-CMIG4-1,1.1241928823480987
2,0,114,131,17,0.15779485214685773,ITUB4,CMIG4,False,ITUB4-CMIG4-2,1.1709259571201076
1,0,123,131,8,0.01114079541008528,ITUB4,BBDC4,False,ITUB4-BBDC4-1,1.0112030851755316
1,0,12,50,38,0.7986679666202599,LIGT3,VALE5,True,LIGT3-VALE5-1,2.2225784072143897
1,0,12,49,37,1.0981223741578976,REPA4,VALE5,True,REPA4-VALE5-1,2.9985306164349184
1,0,123,131,8,-0.05136986627720619,VIVT3,PTIP4,False,VIVT3-PTIP4-1,0.9499272594898018
1,1,4,45,41,0.5941402784026055,AMBV4,DURA4,True,AMBV4-DURA4-1,1.811472912932886
1,1,1,26,25,0.12087037065619363,USIM5,KLBN4,True,USIM5-KLBN4-1,1.1284786189427154
2,1,118,125,7,0.1157961507474014,USIM5,KLBN4,True,USIM5-KLBN4-2,1.1227669735952397
1,1,1,26,25,0.11338627819522859,USIM5,CSTB4,True,USIM5-CSTB4-1,1.1200645058923349
2,1,118,125,7,0.11422627654784773,USIM5,CSTB4,True,USIM5-CSTB4-2,1.1210057534999864
1,1,1,26,25,0.10726618374382788,USIM5,CEVA4,True,USIM5-CEVA4-1,1.1132305389171182
2,1,118,123,5,0.08759762716489755,USIM5,CEVA4,True,USIM5-CEVA4-2,1.0915488240583506
1,1,1,28,27,0.21977903077043046,USIM5,VCPA4,True,USIM5-VCPA4-1,1.2458014163913416
1,2,98,131,33,0.48705470538863604,BRKM5,CMIG3,False,BRKM5-CMIG3-1,1.6275156408189557
1,2,98,131,33,1.2954964658416694,VALE3,BRKM5,False,VALE3-BRKM5-1,3.6528090189506743
1,2,98,131,33,3.713265131797807,CSNA3,BRKM5,False,CSNA3-BRKM5-1,40.98741759992115
1,2,130,131,1,-0.12037370909618605,BBAS4,UNIP6,False,BBAS4-UNIP6-1,0.8865890484076326
1,2,98,131,33,0.43865676725847724,BRKM5,SHAP4,False,BRKM5-SHAP4-1,1.550622971465249
1,3,84,98,14,0.13321503991002248,ABEV3,CMIG3,True,ABEV3-CMIG3-1,1.1424956540797069
2,3,117,128,11,0.14902584505946437,ABEV3,CMIG3,False,ABEV3-CMIG3-2,1.1607029872591594
1,3,115,128,13,0.03589010473587262,CMIG3,BRDT4-old,False,CMIG3-BRDT4-old-1,1.0365419291824653
1,3,104,128,24,0.11204170349177556,BBAS4,CMIG3,False,BBAS4-CMIG3-1,1.1185595075095918
1,3,104,128,24,0.2317505182955446,ITSA4,CMIG3,False,ITSA4-CMIG3-1,1.2608051417723483
1,3,5,41,36,0.661289912794814,OIBR3,TMAR6,True,OIBR3-TMAR6-1,1.9372896581081158
1,4,52,58,6,0.38222886044424415,VIVT3,DURA4,True,VIVT3-DURA4-1,1.4655474525963847
2,4,119,131,12,0.047748668446174536,VIVT3,DURA4,False,VIVT3-DURA4-2,1.0489069987674338
1,4,5,37,32,0.24652217981773528,VALE3,GOAU4,True,VALE3-GOAU4-1,1.279567563478205
