Data,CDI Acumulado,IBOV
1996-01-02,,
1996-01-03,0.001172992031023723,0.0663781321184509
1996-01-04,0.0011229483870653922,0.0005553894134233683
1996-01-05,0.001123031143185349,0.0021989752348419156
1996-01-08,0.0011230165224882516,0.009948235093624191
1996-01-09,0.0011270187647509644,-0.018392744146804474
1996-01-10,0.0011330128969528896,-0.006811637801366621
1996-01-11,0.0011329715920609384,0.027368512148157942
1996-01-12,0.0011330242307701077,0.020616602788189997
1996-01-15,0.0011329801409081242,0.010089755493655206
1996-01-16,0.0011399744356210828,-0.009948114556522447
1996-01-17,0.001136015728784967,-0.0021664225142881133
1996-01-18,0.0011330181740956125,-0.0004962573921672986
1996-01-19,0.0011829327491454933,0.015557118623029442
1996-01-22,0.0011700767587221605,-0.0030963536361785504
1996-01-23,0.001160007327907664,0.018676692958437213
1996-01-24,0.0011759525283607797,-0.008023750300890642
1996-01-25,0.0011529615077150446,-0.003791555447706929
1996-01-26,0.0011460725648824166,-0.00380598605486715
1996-01-29,0.0011360047005049,0.0055219349185973154
1996-01-30,0.0011599190192770337,0.040244792088838466
1996-01-31,0.001216062401116158,0.003525928234698217
1996-02-01,0.0011939451874374285,0.022867126079782585
1996-02-02,0.0011960822047414332,0.02687263962955222
1996-02-05,0.00119596371502384,-0.014415346799977802
1996-02-06,0.0011960307734599773,0.003956571471432024
1996-02-07,0.0011960026048358774,-0.013261113186402662
1996-02-08,0.001196998625100587,0.007495741056217975
1996-02-09,0.0011959401836540984,-0.0032315034005937493
1996-02-12,0.0011960001628439354,0.006314321257586686
1996-02-13,0.001207023665195095,0.008728389743205556
1996-02-14,0.0012299787348553082,-0.010156902794540845
1996-02-15,0.0012330100812785183,-0.010711337885495609
1996-02-16,0.0012400095924225418,-0.019113715228397665
1996-02-19,0.00041433498318887985,0.0031317056196717985
1996-02-20,0.00041416338081146087,0.0031219286581487538
1996-02-21,0.0004139919205179421,0.003112212552590865
1996-02-22,0.0012430319093421627,0.0031025567365698947
1996-02-23,0.0012400128363279084,0.006987799988544596
1996-02-26,0.0012029156349302461,-0.0055173198339117935
1996-02-27,0.0011900602858432308,-0.009951956074124912
1996-02-28,0.0011829473968967275,0.0011939148854227533
1996-02-29,0.0010330183043605334,-0.04644945376211718
1996-03-01,0.0010559788781578927,0.02533432841841976
1996-03-04,0.001050009773800431,0.01363287628115617
1996-03-05,0.0010360052313707069,0.008791677987811886
1996-03-06,0.0010400523698488318,-0.042824987013986404
1996-03-07,0.0010369627449307028,-0.04409784334612987
1996-03-08,0.001032969266801409,-0.007149014907798734
1996-03-11,0.0010430215894776662,0.010546602003430605
1996-03-12,0.0010400230248712727,-0.006769076010645914
1996-03-13,0.001032940255352166,0.013946913111364312
1996-03-14,0.0010330554215740584,0.007428987618353977
1996-03-15,0.0010329876148571504,0.0023341320333802873
1996-03-18,0.0010330096280843915,0.007089129314786113
1996-03-19,0.0010330304276140456,-0.007243856023245732
1996-03-20,0.0010329596306044575,0.0034628465423063304
1996-03-21,0.0010329782914089147,0.022882731138179624
1996-03-22,0.0010329957945451884,0.014358294676386052
1996-03-25,0.001030035752465741,-0.003880266075387828
1996-03-26,0.0010299669800091227,-0.009917322521663219
1996-03-27,0.0010299873867958276,0.0116225384908768
1996-03-28,0.0010300065949859771,-0.011727121200095336
1996-03-29,0.0010300246534440394,-0.005140046180102553
1996-04-01,0.0009960329250258138,0.010958848816323252
1996-04-02,0.000995938239657379,-0.00473129441827036
1996-04-03,0.0009960220082321225,-0.0016046534951359437
1996-04-04,0.0005000205018748094,-0.012446007031642337
1996-04-08,0.0004997706063252227,-0.012602862345007293
1996-04-09,0.0009999356532046644,0.0026372177352893544
1996-04-10,0.0010430442406239582,0.004746835443038
1996-04-11,0.0010430278227411272,-0.000899887514060671
1996-04-12,0.0010459505262021551,0.026693414669095805
1996-04-15,0.0010530463851239347,0.0013557970292095156
1996-04-16,0.001055939719251553,-0.0065706947016307415
1996-04-17,0.001056069349373523,0.0029262622011103634
1996-04-18,0.0010559312988631664,-0.0003797038310118239
1996-04-19,0.0010460427866416655,0.014714114354258179
1996-04-22,0.0010399915039154273,0.0007880841673892913
1996-04-23,0.0010030011248687298,-0.0034845263406569904
1996-04-24,0.0009999638977347125,-0.0029435587427645293
1996-04-25,0.0009930507562021518,0.014820685555775759
1996-04-26,0.0009329825748933818,0.004061072279276878
1996-04-29,0.0009029513744116535,0.0013028429199237745
1996-04-30,0.0008800432319429063,0.0028741770726119498
1996-05-02,0.0008899987336066228,-0.0035049669835984787
1996-05-03,0.0008799813451454419,-0.00866692576758643
1996-05-06,0.0008799977782469881,0.01011487042772563
1996-05-07,0.0008800134436510731,0.02540267805162033
1996-05-08,0.0008800284315482187,0.014496867843827532
1996-05-09,0.0008799551399212291,0.005223393340173521
1996-05-10,0.0008800562826716263,-0.007998515356778535
1996-05-13,0.0008799817108662289,0.02521794440079317
1996-05-14,0.0008829630362461316,-0.00950695230101073
1996-05-15,0.0008830566631181647,0.003721375803688254
1996-05-16,0.0008829749174921186,0.005010737294201872
1996-05-17,0.0008829798426552848,0.015468624442983359
1996-05-20,0.0008829840238182562,0.017139362984011752
1996-05-21,0.0008829875504456908,-0.009495013791640194
1996-05-22,0.0008830772045256285,0.014209464645923653
1996-05-23,0.0008829923956381602,-0.026524685382381397
1996-05-24,0.0008869826173281137,0.01262023577059379
1996-05-27,0.000929947581523427,0.004874477734528426
1996-05-28,0.0009500299326472561,0.014730183549814369
1996-05-29,0.00096996827030571,-0.014901589969881668
